               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 157,            0.035065,            0.018956,            0.013704,                   0,                   0,                   0,                   0,                   0,           0.0047285,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.027385,            0.019529,           0.0066265,                   0,                   0,                   0,                   0,                   0,           0.0047096,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.030999,            0.019687,           0.0075534,                   0,                   0,                   0,                   0,                   0,           0.0048516,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.034109,             0.02194,           0.0058277,                   0,                   0,                   0,                   0,                   0,           0.0048516,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.035849,            0.019768,           0.0071644,                   0,                   0,                   0,                   0,                   0,           0.0047845,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.033188,            0.018342,           0.0048158,                   0,                   0,                   0,                   0,                   0,           0.0046954,                   0,            0.004687,            0.004687,            0.004687
                 163,             0.02865,            0.021693,           0.0036245,                   0,                   0,                   0,                   0,                   0,           0.0047417,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.031566,            0.019403,           0.0050293,                   0,                   0,                   0,                   0,                   0,           0.0047417,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.034004,            0.018781,           0.0060842,                   0,                   0,                   0,                   0,                   0,           0.0046099,                   0,            0.004588,            0.004588,            0.004588
                 166,             0.02823,            0.018076,           0.0047155,                   0,                   0,                   0,                   0,                   0,           0.0046403,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.027231,            0.016781,           0.0045899,                   0,                   0,                   0,                   0,                   0,           0.0044607,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.026587,            0.017545,           0.0042088,                   0,                   0,                   0,                   0,                   0,           0.0044607,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.035219,            0.018671,           0.0049684,                   0,                   0,                   0,                   0,                   0,           0.0043024,                   0,            0.004456,            0.004456,            0.004456
                 170,             0.03328,            0.023239,           0.0064545,                   0,                   0,                   0,                   0,                   0,           0.0043096,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.032083,            0.020881,           0.0032574,                   0,                   0,                   0,                   0,                   0,           0.0042573,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.038057,            0.016744,            0.007182,                   0,                   0,                   0,                   0,                   0,           0.0042573,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.035492,             0.02121,           0.0098974,                   0,                   0,                   0,                   0,                   0,           0.0042299,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.028258,            0.018889,           0.0032088,                   0,                   0,                   0,                   0,                   0,           0.0044434,                   0,            0.004291,            0.004291,            0.004291
                 175,            0.038169,            0.016543,            0.010068,                   0,                   0,                   0,                   0,                   0,           0.0044941,                   0,            0.004258,            0.004258,            0.004258
                 176,            0.030561,            0.015326,            0.005687,                   0,                   0,                   0,                   0,                   0,           0.0044941,                   0,            0.004225,            0.004225,            0.004225
                 177,            0.036314,             0.02021,           0.0069637,                   0,                   0,                   0,                   0,                   0,            0.004688,                   0,            0.004192,            0.004192,            0.004192
                 178,             0.03202,             0.02239,           0.0070572,                   0,                   0,                   0,                   0,                   0,           0.0048814,                   0,            0.004159,            0.004159,            0.004159
                 179,            0.031995,            0.020027,           0.0045405,                   0,                   0,                   0,                   0,                   0,           0.0049683,                   0,            0.004126,            0.004126,            0.004126
                 180,            0.033673,            0.021137,           0.0053153,                   0,                   0,                   0,                   0,                   0,           0.0049683,                   0,            0.004093,            0.004093,            0.004093
                 181,            0.034794,            0.015395,           0.0030841,                   0,                   0,                   0,                   0,                   0,           0.0049278,                   0,             0.00406,             0.00406,             0.00406
